number,name,url,types,height_cm,weight_kg,next_evolutions,abilities
531,Audino,https://pokemondb.net/pokedex/audino,Normal,110.0 cm,31.0 kg,,"[{'name': 'Healer', 'desc': 'May heal an ally’s status conditions.', 'effect': ""May heal an ally's status conditions.\n"", 'url': 'https://pokemondb.net/ability/healer'}, {'name': 'Regenerator', 'desc': 'Restores a little HP when withdrawn from battle.', 'effect': 'A Pokémon with Regenerator restores 1⁄3 of its maximum HP when switching out.', 'url': 'https://pokemondb.net/ability/regenerator'}, {'name': 'Klutz', 'desc': 'The Pokémon can’t use any held items.', 'effect': ""The Pokémon can't use any held items.\n"", 'url': 'https://pokemondb.net/ability/klutz'}]"
532,Timburr,https://pokemondb.net/pokedex/timburr,Fighting,60.0 cm,12.5 kg,##0533 - Gurdurr - https://pokemondb.net/pokedex/gurdurr; ##0534 - Conkeldurr - https://pokemondb.net/pokedex/conkeldurr,"[{'name': 'Guts', 'desc': 'Ups ATTACK if suffering.', 'effect': ""Guts raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack."", 'url': 'https://pokemondb.net/ability/guts'}, {'name': 'Sheer Force', 'desc': 'Removes added effects to increase move damage.', 'effect': 'Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects.', 'url': 'https://pokemondb.net/ability/sheer-force'}, {'name': 'Iron Fist', 'desc': 'Boosts the power of punching moves.', 'effect': 'Iron Fist increases the power of all punching moves by 20%.', 'url': 'https://pokemondb.net/ability/iron-fist'}]"
533,Gurdurr,https://pokemondb.net/pokedex/gurdurr,Fighting,120.0 cm,40.0 kg,##0534 - Conkeldurr - https://pokemondb.net/pokedex/conkeldurr,"[{'name': 'Guts', 'desc': 'Ups ATTACK if suffering.', 'effect': ""Guts raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack."", 'url': 'https://pokemondb.net/ability/guts'}, {'name': 'Sheer Force', 'desc': 'Removes added effects to increase move damage.', 'effect': 'Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects.', 'url': 'https://pokemondb.net/ability/sheer-force'}, {'name': 'Iron Fist', 'desc': 'Boosts the power of punching moves.', 'effect': 'Iron Fist increases the power of all punching moves by 20%.', 'url': 'https://pokemondb.net/ability/iron-fist'}]"
534,Conkeldurr,https://pokemondb.net/pokedex/conkeldurr,Fighting,140.0 cm,87.0 kg,,"[{'name': 'Guts', 'desc': 'Ups ATTACK if suffering.', 'effect': ""Guts raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack."", 'url': 'https://pokemondb.net/ability/guts'}, {'name': 'Sheer Force', 'desc': 'Removes added effects to increase move damage.', 'effect': 'Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects.', 'url': 'https://pokemondb.net/ability/sheer-force'}, {'name': 'Iron Fist', 'desc': 'Boosts the power of punching moves.', 'effect': 'Iron Fist increases the power of all punching moves by 20%.', 'url': 'https://pokemondb.net/ability/iron-fist'}]"
535,Tympole,https://pokemondb.net/pokedex/tympole,Water,50.0 cm,4.5 kg,##0536 - Palpitoad - https://pokemondb.net/pokedex/palpitoad; ##0537 - Seismitoad - https://pokemondb.net/pokedex/seismitoad,"[{'name': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'effect': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}, {'name': 'Hydration', 'desc': 'Heals status problems if it is raining.', 'effect': 'A Pokémon with Hydration will cure itself of any status conditions during rain, at the end of each turn. This includes self-inflicted conditions such as from using Rest.', 'url': 'https://pokemondb.net/ability/hydration'}, {'name': 'Water Absorb', 'desc': 'Changes water into HP.', 'effect': 'A Pokémon with Water Absorb heals 1⁄4 of its maximum HP when hit by a Water-type attack.', 'url': 'https://pokemondb.net/ability/water-absorb'}]"
536,Palpitoad,https://pokemondb.net/pokedex/palpitoad,"Water, Ground",80.0 cm,17.0 kg,##0537 - Seismitoad - https://pokemondb.net/pokedex/seismitoad,"[{'name': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'effect': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}, {'name': 'Hydration', 'desc': 'Heals status problems if it is raining.', 'effect': 'A Pokémon with Hydration will cure itself of any status conditions during rain, at the end of each turn. This includes self-inflicted conditions such as from using Rest.', 'url': 'https://pokemondb.net/ability/hydration'}, {'name': 'Water Absorb', 'desc': 'Changes water into HP.', 'effect': 'A Pokémon with Water Absorb heals 1⁄4 of its maximum HP when hit by a Water-type attack.', 'url': 'https://pokemondb.net/ability/water-absorb'}]"
537,Seismitoad,https://pokemondb.net/pokedex/seismitoad,"Water, Ground",150.0 cm,62.0 kg,,"[{'name': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'effect': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}, {'name': 'Poison Touch', 'desc': 'May poison targets when a Pokémon makes contact.', 'effect': 'May poison targets when a Pokémon makes contact.\n', 'url': 'https://pokemondb.net/ability/poison-touch'}, {'name': 'Water Absorb', 'desc': 'Changes water into HP.', 'effect': 'A Pokémon with Water Absorb heals 1⁄4 of its maximum HP when hit by a Water-type attack.', 'url': 'https://pokemondb.net/ability/water-absorb'}]"
538,Throh,https://pokemondb.net/pokedex/throh,Fighting,130.0 cm,55.5 kg,,"[{'name': 'Guts', 'desc': 'Ups ATTACK if suffering.', 'effect': ""Guts raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack."", 'url': 'https://pokemondb.net/ability/guts'}, {'name': 'Inner Focus', 'desc': 'Prevents flinching.', 'effect': 'Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt.', 'url': 'https://pokemondb.net/ability/inner-focus'}, {'name': 'Mold Breaker', 'desc': 'Moves can be used regardless of abilities.', 'effect': ""Mold Breaker prevents a target's ability from affecting moves that the Mold Breaker Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves."", 'url': 'https://pokemondb.net/ability/mold-breaker'}]"
539,Sawk,https://pokemondb.net/pokedex/sawk,Fighting,140.0 cm,51.0 kg,,"[{'name': 'Sturdy', 'desc': 'Negates 1-hit KO attacks.', 'effect': 'Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (Fissure, Horn Drill, Guillotine or Sheer Cold).', 'url': 'https://pokemondb.net/ability/sturdy'}, {'name': 'Inner Focus', 'desc': 'Prevents flinching.', 'effect': 'Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt.', 'url': 'https://pokemondb.net/ability/inner-focus'}, {'name': 'Mold Breaker', 'desc': 'Moves can be used regardless of abilities.', 'effect': ""Mold Breaker prevents a target's ability from affecting moves that the Mold Breaker Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves."", 'url': 'https://pokemondb.net/ability/mold-breaker'}]"
540,Sewaddle,https://pokemondb.net/pokedex/sewaddle,"Bug, Grass",30.0 cm,2.5 kg,##0541 - Swadloon - https://pokemondb.net/pokedex/swadloon; ##0542 - Leavanny - https://pokemondb.net/pokedex/leavanny,"[{'name': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'effect': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Overcoat', 'desc': 'Protects the Pokémon from damage from weather.', 'effect': 'Overcoat makes the Pokémon immune to residual damage from weather conditions (specifically Hail and Sandstorm).', 'url': 'https://pokemondb.net/ability/overcoat'}]"
541,Swadloon,https://pokemondb.net/pokedex/swadloon,"Bug, Grass",50.0 cm,7.3 kg,##0542 - Leavanny - https://pokemondb.net/pokedex/leavanny,"[{'name': 'Leaf Guard', 'desc': 'Prevents status problems in sunny weather.', 'effect': 'Leaf Guard prevents the bearer from succumbing to major status ailments (sleep, burns, poisoning, paralysis or freezing) during sunny weather.', 'url': 'https://pokemondb.net/ability/leaf-guard'}, {'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Overcoat', 'desc': 'Protects the Pokémon from damage from weather.', 'effect': 'Overcoat makes the Pokémon immune to residual damage from weather conditions (specifically Hail and Sandstorm).', 'url': 'https://pokemondb.net/ability/overcoat'}]"
542,Leavanny,https://pokemondb.net/pokedex/leavanny,"Bug, Grass",120.0 cm,20.5 kg,,"[{'name': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'effect': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Overcoat', 'desc': 'Protects the Pokémon from damage from weather.', 'effect': 'Overcoat makes the Pokémon immune to residual damage from weather conditions (specifically Hail and Sandstorm).', 'url': 'https://pokemondb.net/ability/overcoat'}]"
543,Venipede,https://pokemondb.net/pokedex/venipede,"Bug, Poison",40.0 cm,5.3 kg,##0544 - Whirlipede - https://pokemondb.net/pokedex/whirlipede; ##0545 - Scolipede - https://pokemondb.net/pokedex/scolipede,"[{'name': 'Poison Point', 'desc': 'Poisons foe on contact.', 'effect': 'Contact with the Pokémon may poison the attacker.\n', 'url': 'https://pokemondb.net/ability/poison-point'}, {'name': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'effect': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'name': 'Speed Boost', 'desc': 'Gradually boosts SPEED.', 'effect': 'Its Speed stat is gradually boosted.\n', 'url': 'https://pokemondb.net/ability/speed-boost'}]"
544,Whirlipede,https://pokemondb.net/pokedex/whirlipede,"Bug, Poison",120.0 cm,58.5 kg,##0545 - Scolipede - https://pokemondb.net/pokedex/scolipede,"[{'name': 'Poison Point', 'desc': 'Poisons foe on contact.', 'effect': 'Contact with the Pokémon may poison the attacker.\n', 'url': 'https://pokemondb.net/ability/poison-point'}, {'name': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'effect': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'name': 'Speed Boost', 'desc': 'Gradually boosts SPEED.', 'effect': 'Its Speed stat is gradually boosted.\n', 'url': 'https://pokemondb.net/ability/speed-boost'}]"
545,Scolipede,https://pokemondb.net/pokedex/scolipede,"Bug, Poison",250.0 cm,200.5 kg,,"[{'name': 'Poison Point', 'desc': 'Poisons foe on contact.', 'effect': 'Contact with the Pokémon may poison the attacker.\n', 'url': 'https://pokemondb.net/ability/poison-point'}, {'name': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'effect': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'name': 'Speed Boost', 'desc': 'Gradually boosts SPEED.', 'effect': 'Its Speed stat is gradually boosted.\n', 'url': 'https://pokemondb.net/ability/speed-boost'}]"
546,Cottonee,https://pokemondb.net/pokedex/cottonee,"Grass, Fairy",30.0 cm,0.6 kg,##0547 - Whimsicott - https://pokemondb.net/pokedex/whimsicott,"[{'name': 'Prankster', 'desc': 'Gives priority to a status move.', 'effect': 'Prankster increases the priority of status moves by +1.', 'url': 'https://pokemondb.net/ability/prankster'}, {'name': 'Infiltrator', 'desc': 'Passes through the foe’s barrier and strikes.', 'effect': 'Infiltrator ignores the effects of Reflect, Light Screen and Safeguard. In other words, if the opponent has used Safeguard, Toxic would still badly poison them.', 'url': 'https://pokemondb.net/ability/infiltrator'}, {'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}]"
547,Whimsicott,https://pokemondb.net/pokedex/whimsicott,"Grass, Fairy",70.0 cm,6.6 kg,,"[{'name': 'Prankster', 'desc': 'Gives priority to a status move.', 'effect': 'Prankster increases the priority of status moves by +1.', 'url': 'https://pokemondb.net/ability/prankster'}, {'name': 'Infiltrator', 'desc': 'Passes through the foe’s barrier and strikes.', 'effect': 'Infiltrator ignores the effects of Reflect, Light Screen and Safeguard. In other words, if the opponent has used Safeguard, Toxic would still badly poison them.', 'url': 'https://pokemondb.net/ability/infiltrator'}, {'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}]"
548,Petilil,https://pokemondb.net/pokedex/petilil,Grass,50.0 cm,6.6 kg,##0549 - Lilligant - https://pokemondb.net/pokedex/lilligant; ##0549 - Lilligant - https://pokemondb.net/pokedex/lilligant,"[{'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Own Tempo', 'desc': 'Prevents confusion.', 'effect': 'Prevents the Pokémon from becoming confused.\n', 'url': 'https://pokemondb.net/ability/own-tempo'}, {'name': 'Leaf Guard', 'desc': 'Prevents status problems in sunny weather.', 'effect': 'Leaf Guard prevents the bearer from succumbing to major status ailments (sleep, burns, poisoning, paralysis or freezing) during sunny weather.', 'url': 'https://pokemondb.net/ability/leaf-guard'}]"
549,Lilligant,https://pokemondb.net/pokedex/lilligant,Grass,110.0 cm,16.3 kg,,"[{'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Own Tempo', 'desc': 'Prevents confusion.', 'effect': 'Prevents the Pokémon from becoming confused.\n', 'url': 'https://pokemondb.net/ability/own-tempo'}, {'name': 'Leaf Guard', 'desc': 'Prevents status problems in sunny weather.', 'effect': 'Leaf Guard prevents the bearer from succumbing to major status ailments (sleep, burns, poisoning, paralysis or freezing) during sunny weather.', 'url': 'https://pokemondb.net/ability/leaf-guard'}, {'name': 'Hustle', 'desc': 'Trades accuracy for power.', 'effect': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}]"
550,Basculin,https://pokemondb.net/pokedex/basculin,Water,100.0 cm,18.0 kg,##0902 - Basculegion - https://pokemondb.net/pokedex/basculegion; ##0902 - Basculegion - https://pokemondb.net/pokedex/basculegion,"[{'name': 'Reckless', 'desc': 'Powers up moves that have recoil damage.', 'effect': ""Reckless increases the power of recoil moves by 20%. By extension, this means the amount of recoil damage taken will increase as more damage is dealt (except for High Jump Kick and Jump Kick which are based on the user's HP)."", 'url': 'https://pokemondb.net/ability/reckless'}, {'name': 'Adaptability', 'desc': 'Powers up moves of the same type.', 'effect': 'Adaptability increases the effectiveness of STAB moves from the usual 1.5× to 2×.', 'url': 'https://pokemondb.net/ability/adaptability'}, {'name': 'Mold Breaker', 'desc': 'Moves can be used regardless of abilities.', 'effect': ""Mold Breaker prevents a target's ability from affecting moves that the Mold Breaker Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves."", 'url': 'https://pokemondb.net/ability/mold-breaker'}, {'name': 'Rock Head', 'desc': 'Prevents recoil damage.', 'effect': 'Protects the Pokémon from recoil damage.\n', 'url': 'https://pokemondb.net/ability/rock-head'}, {'name': 'Rattled', 'desc': 'Some move types scare it and boost its Speed.', 'effect': 'When a Pokémon with Rattled is hit by a Bug, Ghost or Dark type move, its Speed is raised one stage (up to the usual maximum of +6 stages).', 'url': 'https://pokemondb.net/ability/rattled'}]"
551,Sandile,https://pokemondb.net/pokedex/sandile,"Ground, Dark",70.0 cm,15.2 kg,##0552 - Krokorok - https://pokemondb.net/pokedex/krokorok; ##0553 - Krookodile - https://pokemondb.net/pokedex/krookodile,"[{'name': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'effect': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'name': 'Moxie', 'desc': 'Boosts Attack after knocking out any Pokémon.', 'effect': ""Moxie increases the user's Attack one stage upon fainting an opponent."", 'url': 'https://pokemondb.net/ability/moxie'}, {'name': 'Anger Point', 'desc': 'Raises Attack upon taking a critical hit.', 'effect': ""Anger Point raises the ability-bearer's Attack to its maximum level - +6 stages or 4× usual power - when a move targeting it receives a critical hit."", 'url': 'https://pokemondb.net/ability/anger-point'}]"
552,Krokorok,https://pokemondb.net/pokedex/krokorok,"Ground, Dark",100.0 cm,33.4 kg,##0553 - Krookodile - https://pokemondb.net/pokedex/krookodile,"[{'name': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'effect': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'name': 'Moxie', 'desc': 'Boosts Attack after knocking out any Pokémon.', 'effect': ""Moxie increases the user's Attack one stage upon fainting an opponent."", 'url': 'https://pokemondb.net/ability/moxie'}, {'name': 'Anger Point', 'desc': 'Raises Attack upon taking a critical hit.', 'effect': ""Anger Point raises the ability-bearer's Attack to its maximum level - +6 stages or 4× usual power - when a move targeting it receives a critical hit."", 'url': 'https://pokemondb.net/ability/anger-point'}]"
553,Krookodile,https://pokemondb.net/pokedex/krookodile,"Ground, Dark",150.0 cm,96.3 kg,,"[{'name': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'effect': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'name': 'Moxie', 'desc': 'Boosts Attack after knocking out any Pokémon.', 'effect': ""Moxie increases the user's Attack one stage upon fainting an opponent."", 'url': 'https://pokemondb.net/ability/moxie'}, {'name': 'Anger Point', 'desc': 'Raises Attack upon taking a critical hit.', 'effect': ""Anger Point raises the ability-bearer's Attack to its maximum level - +6 stages or 4× usual power - when a move targeting it receives a critical hit."", 'url': 'https://pokemondb.net/ability/anger-point'}]"
554,Darumaka,https://pokemondb.net/pokedex/darumaka,Fire,60.0 cm,37.5 kg,##0555 - Darmanitan - https://pokemondb.net/pokedex/darmanitan; ##0555 - Darmanitan - https://pokemondb.net/pokedex/darmanitan,"[{'name': 'Hustle', 'desc': 'Trades accuracy for power.', 'effect': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}, {'name': 'Inner Focus', 'desc': 'Prevents flinching.', 'effect': 'Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt.', 'url': 'https://pokemondb.net/ability/inner-focus'}]"
555,Darmanitan,https://pokemondb.net/pokedex/darmanitan,Fire,130.0 cm,92.9 kg,##0554 - Darumaka - https://pokemondb.net/pokedex/darumaka,"[{'name': 'Sheer Force', 'desc': 'Removes added effects to increase move damage.', 'effect': 'Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects.', 'url': 'https://pokemondb.net/ability/sheer-force'}, {'name': 'Zen Mode', 'desc': 'Changes the Pokémon’s shape when HP is halved.', 'effect': ""Zen Mode changes the ability-bearer's form to Zen Mode when their health falls below 50%."", 'url': 'https://pokemondb.net/ability/zen-mode'}, {'name': 'Gorilla Tactics', 'desc': 'Boosts the Pokémon’s Attack stat but only allows the use of the first selected move.', 'effect': ""Boosts the Pokémon's Attack stat but only allows the use of the first selected move.\n"", 'url': 'https://pokemondb.net/ability/gorilla-tactics'}]"
556,Maractus,https://pokemondb.net/pokedex/maractus,Grass,100.0 cm,28.0 kg,,"[{'name': 'Water Absorb', 'desc': 'Changes water into HP.', 'effect': 'A Pokémon with Water Absorb heals 1⁄4 of its maximum HP when hit by a Water-type attack.', 'url': 'https://pokemondb.net/ability/water-absorb'}, {'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Storm Drain', 'desc': 'The Pokémon draws in all Water-type moves.', 'effect': 'Storm Drain forces all single-target Water-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. The ability is most useful in double/triple battles.', 'url': 'https://pokemondb.net/ability/storm-drain'}]"
557,Dwebble,https://pokemondb.net/pokedex/dwebble,"Bug, Rock",30.0 cm,14.5 kg,##0558 - Crustle - https://pokemondb.net/pokedex/crustle,"[{'name': 'Sturdy', 'desc': 'Negates 1-hit KO attacks.', 'effect': 'Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (Fissure, Horn Drill, Guillotine or Sheer Cold).', 'url': 'https://pokemondb.net/ability/sturdy'}, {'name': 'Shell Armor', 'desc': 'Blocks critical hits.', 'effect': 'Shell Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/shell-armor'}, {'name': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'effect': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}]"
558,Crustle,https://pokemondb.net/pokedex/crustle,"Bug, Rock",140.0 cm,200.0 kg,,"[{'name': 'Sturdy', 'desc': 'Negates 1-hit KO attacks.', 'effect': 'Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (Fissure, Horn Drill, Guillotine or Sheer Cold).', 'url': 'https://pokemondb.net/ability/sturdy'}, {'name': 'Shell Armor', 'desc': 'Blocks critical hits.', 'effect': 'Shell Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/shell-armor'}, {'name': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'effect': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}]"
559,Scraggy,https://pokemondb.net/pokedex/scraggy,"Dark, Fighting",60.0 cm,11.8 kg,##0560 - Scrafty - https://pokemondb.net/pokedex/scrafty,"[{'name': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'effect': 'The Pokémon may heal its own status problems.\n', 'url': 'https://pokemondb.net/ability/shed-skin'}, {'name': 'Moxie', 'desc': 'Boosts Attack after knocking out any Pokémon.', 'effect': ""Moxie increases the user's Attack one stage upon fainting an opponent."", 'url': 'https://pokemondb.net/ability/moxie'}, {'name': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'effect': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}]"
560,Scrafty,https://pokemondb.net/pokedex/scrafty,"Dark, Fighting",110.0 cm,30.0 kg,,"[{'name': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'effect': 'The Pokémon may heal its own status problems.\n', 'url': 'https://pokemondb.net/ability/shed-skin'}, {'name': 'Moxie', 'desc': 'Boosts Attack after knocking out any Pokémon.', 'effect': ""Moxie increases the user's Attack one stage upon fainting an opponent."", 'url': 'https://pokemondb.net/ability/moxie'}, {'name': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'effect': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}]"
561,Sigilyph,https://pokemondb.net/pokedex/sigilyph,"Psychic, Flying",140.0 cm,14.0 kg,,"[{'name': 'Wonder Skin', 'desc': 'Makes status-changing moves more likely to miss.', 'effect': 'Wonder Skin halves the accuracy of all status moves targeted at the ability-bearer.', 'url': 'https://pokemondb.net/ability/wonder-skin'}, {'name': 'Magic Guard', 'desc': 'The Pokémon only takes damage from attacks.', 'effect': 'Magic Guard protects the Pokémon from indirect damage, including:', 'url': 'https://pokemondb.net/ability/magic-guard'}, {'name': 'Tinted Lens', 'desc': 'Powers up “not very effective” moves.', 'effect': 'Powers up “not very effective” moves.\n', 'url': 'https://pokemondb.net/ability/tinted-lens'}]"
562,Yamask,https://pokemondb.net/pokedex/yamask,Ghost,50.0 cm,1.5 kg,##0563 - Cofagrigus - https://pokemondb.net/pokedex/cofagrigus; ##0867 - Runerigus - https://pokemondb.net/pokedex/runerigus,"[{'name': 'Mummy', 'desc': 'Contact with this Pokémon spreads this Ability.', 'effect': 'Contact with this Pokémon spreads this Ability.\n', 'url': 'https://pokemondb.net/ability/mummy'}, {'name': 'Wandering Spirit', 'desc': 'The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.', 'effect': 'Swaps abilities with opponents on contact.\n', 'url': 'https://pokemondb.net/ability/wandering-spirit'}]"
563,Cofagrigus,https://pokemondb.net/pokedex/cofagrigus,Ghost,170.0 cm,76.5 kg,##0562 - Yamask - https://pokemondb.net/pokedex/yamask; ##0867 - Runerigus - https://pokemondb.net/pokedex/runerigus,"[{'name': 'Mummy', 'desc': 'Contact with this Pokémon spreads this Ability.', 'effect': 'Contact with this Pokémon spreads this Ability.\n', 'url': 'https://pokemondb.net/ability/mummy'}]"
564,Tirtouga,https://pokemondb.net/pokedex/tirtouga,"Water, Rock",70.0 cm,16.5 kg,##0565 - Carracosta - https://pokemondb.net/pokedex/carracosta,"[{'name': 'Solid Rock', 'desc': 'Powers down supereffective moves.', 'effect': 'Solid Rock reduces the damage taken from super-effective attacks by 25%.', 'url': 'https://pokemondb.net/ability/solid-rock'}, {'name': 'Sturdy', 'desc': 'Negates 1-hit KO attacks.', 'effect': 'Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (Fissure, Horn Drill, Guillotine or Sheer Cold).', 'url': 'https://pokemondb.net/ability/sturdy'}, {'name': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'effect': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}]"
